DATE,TDSP
1/1/2004,12.218837
4/1/2004,12.156748
7/1/2004,12.272221
10/1/2004,12.276606
1/1/2005,12.621354
4/1/2005,12.623158
7/1/2005,12.673814
10/1/2005,12.690412
1/1/2006,12.717794
4/1/2006,12.767398
7/1/2006,12.88765
10/1/2006,12.982641
1/1/2007,13.009555
4/1/2007,13.049631
7/1/2007,13.159972
10/1/2007,13.287803
1/1/2008,13.191498
4/1/2008,12.82457
7/1/2008,12.880703
10/1/2008,12.808876
1/1/2009,12.704628
4/1/2009,12.37661
7/1/2009,12.251916
10/1/2009,11.958062
1/1/2010,11.668216
4/1/2010,11.329983
7/1/2010,11.139013
10/1/2010,10.990559
1/1/2011,10.795679
4/1/2011,10.709228
7/1/2011,10.589658
10/1/2011,10.471242
1/1/2012,10.2622
4/1/2012,10.15359
7/1/2012,10.21942
10/1/2012,9.894968
1/1/2013,10.264377
4/1/2013,10.180452
7/1/2013,10.144262
10/1/2013,10.169299
1/1/2014,10.101298
4/1/2014,10.045591
7/1/2014,10.022488
10/1/2014,9.98406
1/1/2015,10.003731
4/1/2015,10.035315
7/1/2015,10.095941
10/1/2015,10.038918
1/1/2016,10.004419
4/1/2016,10.105045
7/1/2016,10.163226
10/1/2016,10.127796
1/1/2017,10.076657
4/1/2017,10.038956
7/1/2017,10.032426
10/1/2017,10.031221
1/1/2018,9.973965
4/1/2018,9.921463
7/1/2018,9.901602
10/1/2018,9.926322
1/1/2019,9.899201
4/1/2019,9.946223
7/1/2019,9.969795
10/1/2019,9.9723
1/1/2020,9.902349
4/1/2020,8.930765
7/1/2020,9.192742
10/1/2020,9.369741
1/1/2021,8.311256
4/1/2021,9.12909
7/1/2021,9.360903
10/1/2021,9.490993
1/1/2022,9.724234
4/1/2022,9.785051
7/1/2022,9.82833
10/1/2022,9.891317
1/1/2023,9.713434
4/1/2023,9.694271
7/1/2023,9.77531
