Financing scheme,Function,Measure,LOCATION,Country,Year,Value
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,AUS,Australia,2000,7.594
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,AUS,Australia,2001,7.678
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,AUS,Australia,2002,7.876
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,AUS,Australia,2003,7.881
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,AUS,Australia,2004,8.087
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,AUS,Australia,2005,7.97
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,AUS,Australia,2006,7.977
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,AUS,Australia,2007,8.055
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,AUS,Australia,2008,8.249
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,AUS,Australia,2009,8.545
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,AUS,Australia,2010,8.42
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,AUS,Australia,2011,8.537
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,AUS,Australia,2012,8.675
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,AUS,Australia,2013,8.751
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,AUS,Australia,2014,9.834
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,AUS,Australia,2015,10.182
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,AUS,Australia,2016,10.093
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,AUS,Australia,2017,10.123
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,AUS,Australia,2018,10.06
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,AUS,Australia,2019,10.22
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,AUS,Australia,2020,10.684
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,AUS,Australia,2021,10.59
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,AUS,Australia,2022,9.646
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,AUT,Austria,2000,9.204
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,AUT,Austria,2001,9.269
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,AUT,Austria,2002,9.395
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,AUT,Austria,2003,9.547
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,AUT,Austria,2004,9.709
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,AUT,Austria,2005,9.627
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,AUT,Austria,2006,9.531
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,AUT,Austria,2007,9.532
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,AUT,Austria,2008,9.726
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,AUT,Austria,2009,10.226
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,AUT,Austria,2010,10.221
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,AUT,Austria,2011,10.026
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,AUT,Austria,2012,10.199
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,AUT,Austria,2013,10.286
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,AUT,Austria,2014,10.368
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,AUT,Austria,2015,10.368
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,AUT,Austria,2016,10.352
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,AUT,Austria,2017,10.384
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,AUT,Austria,2018,10.349
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,AUT,Austria,2019,10.487
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,AUT,Austria,2020,11.385
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,AUT,Austria,2021,12.096
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,AUT,Austria,2022,11.351
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,BEL,Belgium,2000,7.999
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,BEL,Belgium,2001,8.15
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,BEL,Belgium,2002,8.318
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,BEL,Belgium,2003,9.164
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,BEL,Belgium,2004,9.328
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,BEL,Belgium,2005,9.224
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,BEL,Belgium,2006,9.13
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,BEL,Belgium,2007,9.136
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,BEL,Belgium,2008,9.595
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,BEL,Belgium,2009,10.321
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,BEL,Belgium,2010,10.202
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,BEL,Belgium,2011,10.363
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,BEL,Belgium,2012,10.502
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,BEL,Belgium,2013,10.577
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,BEL,Belgium,2014,10.609
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,BEL,Belgium,2015,10.797
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,BEL,Belgium,2016,10.794
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,BEL,Belgium,2017,10.799
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,BEL,Belgium,2018,10.861
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,BEL,Belgium,2019,10.795
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,BEL,Belgium,2020,11.198
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,BEL,Belgium,2021,11.043
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,BEL,Belgium,2022,10.94
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,CAN,Canada,2000,8.248
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,CAN,Canada,2001,8.625
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,CAN,Canada,2002,8.857
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,CAN,Canada,2003,9.011
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,CAN,Canada,2004,9.066
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,CAN,Canada,2005,9.035
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,CAN,Canada,2006,9.342
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,CAN,Canada,2007,9.445
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,CAN,Canada,2008,9.608
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,CAN,Canada,2009,10.662
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,CAN,Canada,2010,10.676
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,CAN,Canada,2011,10.38
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,CAN,Canada,2012,10.51
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,CAN,Canada,2013,10.412
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,CAN,Canada,2014,10.258
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,CAN,Canada,2015,10.739
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,CAN,Canada,2016,11.032
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,CAN,Canada,2017,10.906
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,CAN,Canada,2018,10.905
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,CAN,Canada,2019,11.009
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,CAN,Canada,2020,13.035
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,CAN,Canada,2021,12.334
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,CAN,Canada,2022,11.155
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,SWE,Sweden,2000,7.327
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,SWE,Sweden,2001,7.9
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,SWE,Sweden,2002,8.21
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,SWE,Sweden,2003,8.317
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,SWE,Sweden,2004,8.13
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,SWE,Sweden,2005,8.151
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,SWE,Sweden,2006,8.052
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,SWE,Sweden,2007,7.996
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,SWE,Sweden,2008,8.208
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,SWE,Sweden,2009,8.77
