State,Dec_22,Dec_23
Maryland,3,1.9
Oregon,4.8,3.7
Wyoming,3.9,3
Hawaii,3.7,2.9
Pennsylvania,4.3,3.5
Vermont,3,2.2
Mississippi,4,3.3
Massachusetts,3.7,3.2
Delaware,4.6,4.2
Nebraska,2.7,2.3
New Hampshire,2.9,2.5
Ohio,4.1,3.7
North Carolina,3.8,3.5
South Carolina,3.3,3
Washington,4.5,4.2
Connecticut,4,3.8
North Dakota,2.1,1.9
South Dakota,2.2,2
Kansas,2.9,2.8
Nevada,5.5,5.4
Virginia,3.1,3
Alabama,2.6,2.6
Arkansas,3.4,3.4
Michigan,4.3,4.3
Minnesota,2.9,2.9
Rhode Island,3.2,3.2
Tennessee,3.5,3.5
Maine,3.1,3.2
Illinois,4.6,4.8
Iowa,3,3.2
Louisiana,3.5,3.7
Oklahoma,3.2,3.4
Texas,3.8,4
West Virginia,4.1,4.3
Arizona,4,4.3
Florida,2.7,3
Georgia,3.1,3.4
Wisconsin,3,3.3
Kentucky,3.9,4.3
New York,4.1,4.5
Utah,2.4,2.8
Idaho,2.8,3.3
Indiana,3.1,3.6
New Mexico,3.5,4
Colorado,2.8,3.4
Missouri,2.7,3.3
Montana,2.6,3.2
Alaska,3.7,4.5
District of Columbia,4.2,5.1
California,4.1,5.1
New Jersey,3.3,4.8
